High,Low,High,Low
1456,846,1456,846
1300,1428,1300,1428
391,804,391,804
1513,539,1513,539
1214,110,1214,110
524,1102,524,1102
628,1876,628,1876
897,738,897,738
645,997,645,997
737,643,737,643
721,879,721,879
987,1302,987,1302
1205,604,1205,604
620,806,620,806
751,1746,751,1746
466,1684,466,1684
1203,552,1203,552
1222,2699,1222,2699
1325,926,1325,926
572,1202,572,1202
1162,1087,1162,1087
425,784,425,784
1275,1442,1275,1442
1682,1949,1682,1949
846,593,846,593
430,1119,430,1119
1712,857,1712,857
819,1071,819,1071
1043,580,1043,580
1013,317,1013,317
872,1347,872,1347
610,778,610,778
