Q1,Q2,Q3,Q4
721,466,735,380
650,802,650,625
171,382,220,422
664,292,849,247
610,55,604,55
285,531,239,571
329,926,299,949
464,382,433,356
308,506,337,490
299,352,438,291
369,390,352,489
632,744,355,558
583,315,622,289
296,385,324,421
399,859,352,887
246,724,220,960
582,314,621,238
672,1100,550,1599
632,535,692,391
318,584,253,618
654,535,508,552
272,385,153,398
676,635,599,807
797,926,885,1023
428,379,418,214
253,641,177,478
827,423,885,434
414,597,405,474
475,337,568,243
498,167,515,150
526,606,346,741
296,405,314,373
