row_idx	col_idx	log2ratio
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
2	1	0.00841312760895
2	2	0.00861804323093
2	3	0.013924178664
2	4	0.00712784287065
2	5	-0.00282744558216
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
6	1	0.00658470325458
6	2	0.000414712482823
6	3	0.00394101999911
6	4	-0.000531820686904
6	5	-0.000984273150753
7	1	-0.00185070790627
7	2	0.00309016074669
7	3	0.0331603252598
7	4	0.0018314113883
7	5	0.0266319674707
8	1	0.000414001549367
8	2	0.0
8	3	0.0
8	4	0.0
8	5	-0.00127226463104
9	1	-3.81053995351e-05
9	2	0.0
9	3	0.0
9	4	0.0
9	5	0.0
10	1	0.000618535776184
10	2	0.00986149267399
10	3	0.00545292547518
10	4	0.0015350877193
10	5	0.00282049861088
11	1	0.00711501336501
11	2	0.000314495694116
11	3	-0.0026820297497
11	4	0.00143568576576
11	5	-0.00540486836133
12	1	0.0
12	2	0.0
12	3	0.0
12	4	0.0
12	5	0.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	0.0
13	5	0.0
14	1	-0.000442763548416
14	2	0.00504230617867
14	3	0.0123826770047
14	4	0.00145189762429
14	5	0.0024069888742
15	1	0.0107155484762
15	2	0.0209451468302
15	3	0.000599778166478
15	4	0.000248113770321
15	5	0.0312041345464
16	1	-0.00433076474734
16	2	-0.00018668744173
16	3	-0.00696220499171
16	4	-0.00745606884485
16	5	-0.00770463756801
17	1	0.0
17	2	0.0
17	3	0.0
17	4	0.0
17	5	0.0
18	1	0.00820157558568
18	2	0.000660768320977
18	3	0.00289094321114
18	4	0.00179504041922
18	5	-0.00630456963429
19	1	-0.00167803540565
19	2	0.00377187651363
19	3	-0.00257816782404
19	4	-0.0116379198271
19	5	-0.00784361339668
20	1	-0.000309214594929
20	2	0.000116946545518
20	3	0.00313662852299
20	4	-0.00404795349225
20	5	-0.00437856772185
21	1	0.0
21	2	0.0
21	3	0.0
21	4	0.0
21	5	-0.00219307494412
22	1	0.0229512597283
22	2	0.0322630242698
22	3	0.00353666174671
22	4	0.000889841582566
22	5	0.0402993587691
23	1	0.00740202839445
23	2	0.000256620416447
23	3	0.00468663818138
23	4	0.0034698497698
23	5	-0.00639863074264
24	1	0.00695117141766
24	2	0.000951178038292
24	3	0.00189183967124
24	4	-0.000565820414906
24	5	0.00046921522134
25	1	-0.00612562477106
25	2	-0.000524425137616
25	3	-0.00223145534842
25	4	-0.0138992641184
25	5	-0.0252003400893
26	1	0.0
26	2	0.0
26	3	0.0
26	4	0.0
26	5	0.0
27	1	-0.00160800739444
27	2	0.00602328315751
27	3	-0.00327261226848
27	4	-0.0115572607518
27	5	-0.00603897200568
28	1	0.0
28	2	0.0
28	3	0.0
28	4	0.0
28	5	-0.00260205186509
29	1	0.00351333767079
29	2	-0.0105327781464
29	3	0.00136321021712
29	4	-0.00558026618593
29	5	-0.0126978740794
30	1	0.00307799389779
30	2	-0.000649981900836
30	3	-0.00367746288799
30	4	0.0
30	5	0.0
31	1	0.0122082086357
31	2	0.00238755457001
31	3	0.00598414148026
31	4	0.00290658081149
31	5	0.0021264378871
32	1	0.0
32	2	0.0
32	3	0.0
32	4	0.0
32	5	0.0
33	1	0.00551437170967
33	2	-0.00261367676789
33	3	0.00542886222632
33	4	-0.000927809638476
33	5	-0.00191757297285
34	1	0.0
34	2	0.0
34	3	0.00502417676582
34	4	0.00527882205514
34	5	-0.000242107063834
35	1	0.0
35	2	0.0
35	3	0.0
35	4	0.0
35	5	0.0
36	1	0.0
36	2	0.0
36	3	0.0
36	4	0.0
36	5	0.0
37	1	0.00755113172863
37	2	0.00275105356107
37	3	-0.00166208669444
37	4	0.00721428437106
37	5	-0.00570240834418
38	1	0.00184765793589
38	2	0.00351067393427
38	3	0.00101238909812
38	4	-0.00355149243394
38	5	0.00104106944782
39	1	0.000668492793322
39	2	0.00169082032214
39	3	-0.00367746288799
39	4	-0.00227272727273
39	5	0.0
40	1	0.00870999869383
40	2	-0.00348343467946
40	3	0.0133955574032
40	4	0.00330970397853
40	5	-0.0202830684712
41	1	-0.00110456331742
41	2	0.00673649267399
41	3	0.0046000064332
41	4	0.0015350877193
41	5	0.000676181684192
42	1	5.54304816482e-05
42	2	-0.00108372457584
42	3	0.00204963059587
42	4	0.00745754610886
42	5	-0.00655789967873
43	1	0.0
43	2	0.0
43	3	0.0
43	4	0.0
43	5	0.0
44	1	0.00512698443668
44	2	0.00123597683406
44	3	0.00679814604842
44	4	0.000153335350093
44	5	-0.00500009577208
45	1	0.0108166580824
45	2	0.00191530563916
45	3	0.0066163026688
45	4	0.001638654456
45	5	0.00458858427813
46	1	-0.000482573933555
46	2	0.0
46	3	0.0
46	4	0.0
46	5	0.0
47	1	0.00739828596194
47	2	0.0269930657069
47	3	0.00113089514538
47	4	-0.00468423477756
47	5	0.0366036293074
48	1	-0.00316158497907
48	2	0.0052368086459
48	3	0.00357133396906
48	4	-0.0063803278066
48	5	-0.00557497209251
49	1	-0.0105719971627
49	2	0.00355137188042
49	3	-0.00846559850627
49	4	-0.00562486207658
49	5	0.00195372517042
50	1	0.0
50	2	0.0
50	3	0.0
50	4	0.0
50	5	0.0
