row_idx	col_idx	log2ratio
1	1	-0.0122245179063
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
2	1	0.0
2	2	0.0
2	3	0.00468807968611
2	4	0.0
2	5	0.0
3	1	-0.0199900049975
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
4	1	0.0
4	2	0.0
4	3	-0.0096709065213
4	4	0.0
4	5	0.0
5	1	0.0
5	2	0.0
5	3	-0.00609756097561
5	4	0.0
5	5	0.0
6	1	0.0
6	2	-0.00430833721472
6	3	0.0
6	4	0.0
6	5	0.0
7	1	0.0036231884058
7	2	-0.00442477876106
7	3	0.0
7	4	0.0
7	5	0.0
8	1	0.0
8	2	0.0
8	3	0.00724637681159
8	4	0.0
8	5	0.0
9	1	-0.00442477876106
9	2	0.0
9	3	0.0
9	4	0.0
9	5	0.0
10	1	0.0
10	2	0.0
10	3	-0.00438596491228
10	4	0.0
10	5	0.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0128205128205
11	5	-0.0106382978723
12	1	0.0
12	2	0.0
12	3	-0.00609756097561
12	4	0.0
12	5	0.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	-0.00556805399325
13	5	0.0
14	1	0.0
14	2	0.0
14	3	0.0
14	4	0.0133333333333
14	5	0.0
15	1	-0.00626460154019
15	2	0.0
15	3	0.0
15	4	0.0
15	5	0.0
16	1	-0.0121739130435
16	2	0.0
16	3	0.0
16	4	0.0
16	5	0.0
17	1	0.0
17	2	0.0
17	3	-0.00609756097561
17	4	0.0
17	5	0.0
18	1	0.0
18	2	0.0
18	3	0.00746268656716
18	4	0.0
18	5	0.0
19	1	0.0
19	2	-0.0129179504736
19	3	0.0
19	4	0.0
19	5	0.0
20	1	-0.00613496932515
20	2	0.0
20	3	0.0
20	4	0.0
20	5	0.0
21	1	0.0
21	2	0.0
21	3	0.00724637681159
21	4	0.0
21	5	0.0
22	1	-0.00826446280992
22	2	0.0
22	3	0.0
22	4	0.0
22	5	0.0
23	1	0.0
23	2	0.0
23	3	-0.00724637681159
23	4	0.0
23	5	0.0
24	1	0.0
24	2	0.0
24	3	0.0
24	4	0.0
24	5	-0.00564971751412
25	1	0.0
25	2	0.0
25	3	0.0
25	4	0.0
25	5	-0.00555555555556
26	1	0.0
26	2	0.0
26	3	-0.00568181818182
26	4	0.0
26	5	0.0
27	1	0.0
27	2	0.0
27	3	0.0
27	4	-0.00601851851852
27	5	0.0
28	1	0.0
28	2	0.0
28	3	0.0
28	4	-0.00571428571429
28	5	0.0
29	1	0.0
29	2	0.0
29	3	0.0
29	4	0.00629921259843
29	5	0.0
30	1	0.0
30	2	-0.00471998979462
30	3	0.0
30	4	0.0
30	5	0.0
31	1	0.0
31	2	0.0
31	3	0.0
31	4	0.0
31	5	-0.0125
32	1	-0.00564971751412
32	2	0.0
32	3	0.0
32	4	0.0
32	5	0.0
33	1	0.0
33	2	-0.00807217473884
33	3	0.0
33	4	0.0
33	5	0.0
34	1	0.0
34	2	0.0
34	3	0.0
34	4	0.00610119047619
34	5	0.0
35	1	-0.000610500610501
35	2	-0.00739915229465
35	3	0.0
35	4	-0.00833333333333
35	5	-0.0169491525424
36	1	0.0
36	2	0.0
36	3	0.00724637681159
36	4	0.0
36	5	0.0
37	1	0.0
37	2	0.0
37	3	0.00746268656716
37	4	0.0
37	5	0.0
38	1	0.0
38	2	0.0
38	3	0.00679170875984
38	4	0.0
38	5	0.0
39	1	-0.0131971051511
39	2	0.0
39	3	0.0
39	4	0.0
39	5	0.0
40	1	0.0
40	2	0.0
40	3	0.00661764705882
40	4	0.0
40	5	0.0
41	1	0.0
41	2	-0.0051724137931
41	3	0.0
41	4	0.0
41	5	0.0
42	1	0.00724637681159
42	2	-0.0208333333333
42	3	0.0
42	4	0.0
42	5	0.0
43	1	0.0
43	2	0.0
43	3	0.0
43	4	0.00492610837438
43	5	-0.00561797752809
44	1	0.0
44	2	0.0
44	3	0.0
44	4	0.0
44	5	-0.00847457627119
45	1	0.0
45	2	0.0042735042735
45	3	-0.00609756097561
45	4	0.0
45	5	0.0
46	1	-0.00438596491228
46	2	0.0
46	3	0.0
46	4	0.0
46	5	0.0
47	1	0.0
47	2	0.0
47	3	0.00746268656716
47	4	0.0
47	5	0.0
48	1	0.0
48	2	0.0
48	3	0.0
48	4	-0.00438596491228
48	5	0.0
49	1	-0.00798319327731
49	2	0.0
49	3	0.0
49	4	0.0
49	5	0.0
50	1	0.0
50	2	-0.00630195762939
50	3	0.0
50	4	0.0
50	5	0.0
